monthly,privatesale,total
1510,14765630.429999756,93788305.55000009
1511,16076968.80999974,110983632.74999818
1512,16917377.499999754,134630557.84999666
1601,15753260.869999727,105399803.95999861
1602,10065965.889999874,68938714.88000323
1602,4370182.910000002,28829536.059999768
1603,14807356.019999774,102490892.73999867
1604,14845484.439999785,102327935.34999892
1605,16394182.64999975,103139421.18999869
1606,15948327.3099998,112084467.86999682
1607,5245006.679999986,37759377.87000021
1607,11676152.959999831,81386751.02000149
1608,15803276.979999762,107579978.17999823
1609,15140459.949999774,102547784.86999899
1610,16682677.069999741,132857340.35999766
1611,15423377.149999784,105911801.90999813
1612,13527433.169999817,96205681.5499995
1612,3098713.490000004,22764872.789999768
1701,15306487.42999975,107086098.16999824
1702,14454391.009999786,104528458.50999838
1703,15195337.539999774,102683848.1399987
1704,15025529.159999773,105798198.10999843
1705,6398825.429999962,46299276.75000092
1705,9490718.6899999,64270788.23000317
1706,15895246.579999767,107365422.49999818
1707,16838273.979999755,114465023.97999732
1708,15964755.839999761,106953879.44999811
1709,15740932.929999774,104308672.06999838
